index,year,iso_code,population,gdp,renewables_electricity,fossil_fuel_consumption,greenhouse_gas_emissions,energy_per_gdp
0,1990,AFG,12045664.0,13065984000.0,0.3100000023841858,0.0,0.1199999973177909,2.311105966567993
1,1991,AFG,12238879.0,12047361847.0,0.3100000023841858,0.0,0.1199999973177909,1.0373072624206543
2,1992,AFG,13278983.0,12677539626.0,0.3100000023841858,0.0,0.1199999973177909,0.6473768353462219
3,1993,AFG,14943175.0,9834582315.0,0.3100000023841858,0.0,0.1199999973177909,0.8292522430419922
4,1994,AFG,16250800.0,7919856426.0,0.3100000023841858,0.0,0.1199999973177909,0.9938326478004456
5,1995,AFG,17065837.0,12307525468.0,0.3100000023841858,0.0,0.1199999973177909,0.5359143018722534
6,1996,AFG,17763266.0,12070125316.0,0.3100000023841858,0.0,0.1199999973177909,0.5428985357284546
7,1997,AFG,18452100.0,11850752863.0,0.3100000023841858,0.0,0.1199999973177909,0.5312908291816711
8,1998,AFG,19159996.0,11692171422.0,0.3100000023841858,0.0,0.1199999973177909,0.5264798998832703
9,1999,AFG,19887792.0,11517315926.0,0.3100000023841858,0.0,0.1199999973177909,0.5339431762695312
10,2000,AFG,20130334.0,11283794151.0,0.3100000023841858,0.0,0.1199999973177909,0.468623012304306
11,2001,AFG,20284303.0,11021272927.0,0.5,0.0,0.1500000059604644,0.3310853540897369
12,2002,AFG,21378123.0,18804871508.0,0.5600000023841858,0.0,0.1199999973177909,0.1770007461309433
13,2003,AFG,22733053.0,21074343420.0,0.6299999952316284,0.0,0.2199999988079071,0.1882969439029693
14,2004,AFG,23560656.0,22332570533.0,0.5600000023841858,0.0,0.1800000071525573,0.166432723402977
15,2005,AFG,24404575.0,25397686814.0,0.5899999737739563,0.0,0.1800000071525573,0.1974338144063949
16,2006,AFG,25424100.0,28704399925.0,0.6399999856948853,0.0,0.2300000041723251,0.2275129556655883
17,2007,AFG,25909852.0,34507529735.0,0.75,0.0,0.2300000041723251,0.2248285412788391
18,2008,AFG,26482631.0,36561043230.0,0.5400000214576721,0.0,0.2000000029802322,0.4113683402538299
19,2009,AFG,27466102.0,44358722212.0,0.7799999713897705,0.0,0.1000000014901161,0.5694068074226379
20,2010,AFG,28284088.0,47399425562.0,0.75,0.0,0.1199999973177909,0.6802509427070618
21,2011,AFG,29347708.0,53326336000.0,0.6000000238418579,0.0,0.1500000059604644,0.776188850402832
22,2012,AFG,30560036.0,59166900000.0,0.7400000095367432,0.0,0.1299999952316284,0.6595094203948975
23,2013,AFG,31622709.0,62993700000.0,0.8899999856948853,0.0,0.2000000029802322,0.5059117674827576
24,2014,AFG,32792528.0,64346106000.0,1.0,0.0,0.1500000059604644,0.4138590097427368
25,2015,AFG,33831767.0,62783392000.0,1.0299999713897705,0.0,0.1400000005960464,0.4930208325386047
26,2016,AFG,34700613.0,64372217488.0,1.059999942779541,0.0,0.1400000005960464,0.4361407458782196
27,2017,AFG,35688941.0,65169281649.0,1.090000033378601,0.0,0.1599999964237213,0.5603470802307129
28,2018,AFG,36743040.0,65996738862.0,0.9700000286102296,0.0,0.1800000071525573,0.7044668197631836
29,2019,AFG,37856125.0,73085701943.0,1.2799999713897705,0.0,0.1700000017881393,0.6446066498756409
30,2020,AFG,39068977.0,71417706295.0,1.059999942779541,0.0,0.1099999994039535,0.6568643450737
31,2021,AFG,40000410.0,56638852656.0,0.9300000071525574,0.0,0.1199999973177909,0.8398705720901489
32,2022,AFG,40578847.0,53303471617.0,0.8299999833106995,0.0,0.1199999973177909,0.8462175130844116
33,2023,AFG,41454762.0,53303471617.0,0.8399999737739563,0.0,0.1199999973177909,0.8462175130844116
34,2024,AFG,42647502.0,53303471617.0,0.8600000143051147,0.0,0.1299999952316284,0.8462175130844116
35,1990,ALB,3277965.0,12947849077.0,4.550000190734863,0.0,0.2300000041723251,2.1533305644989014
36,1991,ALB,3282608.0,9375856841.0,4.550000190734863,0.0,0.2300000041723251,2.2461912631988525
37,1992,ALB,3282506.0,8745674435.0,4.550000190734863,0.0,0.2300000041723251,2.0811896324157715
38,1993,ALB,3277831.0,9636341649.0,4.550000190734863,0.0,0.2300000041723251,1.55729877948761
39,1994,ALB,3269417.0,10596114842.0,4.550000190734863,0.0,0.2300000041723251,1.2281999588012695
40,1995,ALB,3258573.0,11600732968.0,4.550000190734863,0.0,0.2300000041723251,1.233662247657776
41,1996,ALB,3245680.0,12468867839.0,4.550000190734863,0.0,0.2300000041723251,1.0828067064285278
42,1997,ALB,3229665.0,11020137102.0,4.550000190734863,0.0,0.2300000041723251,1.17258882522583
43,1998,ALB,3210134.0,12026242682.0,4.550000190734863,0.0,0.2300000041723251,1.237635850906372
44,1999,ALB,3188598.0,13673692880.0,4.550000190734863,0.0,0.2300000041723251,0.8533189296722412
45,2000,ALB,3166147.0,14736835655.0,4.550000190734863,0.0,0.2300000041723251,1.335641622543335
46,2001,ALB,3147943.0,16103903904.0,3.5199999809265137,0.0,0.1899999976158142,1.2478679418563845
47,2002,ALB,3134095.0,17037279441.0,3.4800000190734863,0.0,0.2300000041723251,1.326977252960205
48,2003,ALB,3118093.0,18171076149.0,5.119999885559082,0.0,0.1899999976158142,1.2769317626953125
49,2004,ALB,3098662.0,19346601376.0,5.409999847412109,0.0,0.2199999988079071,1.2929446697235107
50,2005,ALB,3076156.0,20562850324.0,5.320000171661377,0.0,0.1800000071525573,1.2034207582473757
51,2006,ALB,3050805.0,21889974405.0,4.949999809265137,0.0,0.1800000071525573,1.0747380256652832
52,2007,ALB,3022887.0,23259283502.0,2.759999990463257,0.0,0.1199999973177909,0.99494469165802
53,2008,ALB,2992933.0,25006230217.0,3.759999990463257,0.0,0.0900000035762786,0.9555242657661438
54,2009,ALB,2961487.0,25821550979.0,5.199999809265137,0.0,0.1199999973177909,0.9332181215286256
55,2010,ALB,2928731.0,26747818608.0,7.570000171661377,0.0,0.1800000071525573,0.8302543759346008
56,2011,ALB,2911499.0,27431048326.0,4.130000114440918,0.0,0.1400000005960464,0.8737560510635376
